Unnamed: 0,Abdul Kalam,Barack Obama,Elon Musk,Guido Van Rossum,Jeff Bezos,Johnny Depp,Larry Page,Leonardo Dicaprio,Mark,Satya Nadella,Sundar Pichai,Warren Buffett
01-Jun-2022,13:44:08,13:47:53,13:18:46,13:48:06,12:57:35,12:56:16,12:56:09,12:56:01,0,12:55:52,12:55:46,12:55:48
02-Jun-2022,11:40:26,0,0,11:40:12,11:40:05,11:39:59,11:36:41,11:36:29,0,11:36:19,11:36:12,11:36:04
03-Jun-2022,0,0,0,0,0,0,0,0,0,0,0,0
04-Jun-2022,0,0,0,0,0,0,0,0,0,0,0,0
05-Jun-2022,0,0,0,0,0,0,0,0,0,0,0,0
06-Jun-2022,0,0,0,0,0,0,0,0,0,0,0,0
07-Jun-2022,0,0,0,0,0,0,0,0,0,0,0,0
08-Jun-2022,0,0,0,0,0,0,0,0,0,0,0,0
09-Jun-2022,0,0,0,0,0,0,0,0,0,0,0,0
10-Jun-2022,0,0,0,0,0,0,0,0,0,0,0,0
11-Jun-2022,0,0,0,0,0,0,0,0,0,0,0,0
12-Jun-2022,0,0,0,0,0,0,0,0,0,0,0,0
13-Jun-2022,0,0,0,0,0,0,0,0,0,0,0,0
14-Jun-2022,0,0,0,0,0,0,0,0,0,0,0,0
15-Jun-2022,0,0,0,0,0,0,0,0,0,0,0,0
16-Jun-2022,0,0,0,0,0,0,0,0,0,0,0,0
17-Jun-2022,0,0,0,0,0,0,0,0,0,0,0,0
18-Jun-2022,0,0,0,0,0,0,0,0,0,0,0,0
19-Jun-2022,0,0,0,0,0,0,0,0,0,0,0,0
20-Jun-2022,0,0,0,0,0,0,0,0,0,0,0,0
21-Jun-2022,0,0,0,0,0,0,0,0,0,0,0,0
22-Jun-2022,0,0,0,0,0,0,0,0,0,0,0,0
23-Jun-2022,0,0,0,0,0,0,0,0,0,0,0,0
24-Jun-2022,0,0,0,0,0,0,0,0,0,0,0,0
25-Jun-2022,0,0,0,0,0,0,0,0,0,0,0,0
26-Jun-2022,0,0,0,0,0,0,0,0,0,0,0,0
27-Jun-2022,0,0,0,0,0,0,0,0,0,0,0,0
28-Jun-2022,0,0,0,0,0,0,0,0,0,0,0,0
29-Jun-2022,0,0,0,0,0,0,0,0,0,0,0,0
30-Jun-2022,0,0,0,0,0,0,0,0,0,0,0,0
