Unnamed: 0,Abdul Kalam,Barack Obama,Elon Musk,Guido Van Rossum,Jeff Bezos,Johnny Depp,Larry Page,Leonardo Dicaprio,Mark,Satya Nadella,Sundar Pichai,Warren Buffett
01-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
02-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
03-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
04-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
05-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
06-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
07-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
08-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
09-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
10-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
11-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
12-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
13-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
14-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
15-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
16-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
17-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
18-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
19-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
20-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
21-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
22-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
23-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
24-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
25-May-2022,13:17:35,13:17:36,13:17:36,13:17:37,13:17:37,13:17:38,13:17:39,13:17:39,13:17:40,13:17:40,13:17:41,13:17:41
26-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
27-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
28-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
30-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
31-May-2022,0,0,0,0,0,0,0,0,0,0,0,0
